"ReferenceTime","GEX","spot","future"
2024-01-18 08:30:03,548171318.419112,4758.06,4789.5
2024-01-18 08:31:04,496225774.431958,4757.31,4785.75
2024-01-18 08:32:03,470289077.533394,4756.64,4786.5
2024-01-18 08:33:04,581582666.445322,4759.06,4786.5
2024-01-18 08:34:04,565389553.124512,4758.65,4786.5
2024-01-18 08:35:02,547261689.133164,4758.32,4786.25
2024-01-18 08:36:02,547724493.656776,4758.35,4786.75
2024-01-18 08:37:03,442494439.302516,4756.12,4786.25
2024-01-18 08:38:03,463671331.740663,4756.5,4786
2024-01-18 08:39:02,436058873.377579,4755.98,4785.25
2024-01-18 08:40:03,543264180.668541,4758.17,4786
2024-01-18 08:41:03,658992355.26925,4760.46,4789
2024-01-18 08:42:02,520230602.441045,4757.55,4787
2024-01-18 08:43:03,448144404.104955,4755.5,4790
2024-01-18 08:44:03,380946983.951953,4755.24,4788
2024-01-18 08:45:03,333361025.026969,4754.29,4788.75
2024-01-18 08:46:02,357011702.959581,4753.97,4787.75
2024-01-18 08:47:02,292201503.74022,4752.01,4786
2024-01-18 08:48:03,436484846.281857,4754.48,4786
2024-01-18 08:49:03,412947384.609312,4754.43,4785.75
2024-01-18 08:50:03,371555292.188139,4753.62,4788.25
2024-01-18 08:51:03,297061336.232213,4751.33,4790.5
2024-01-18 08:52:03,340412435.589904,4752.49,4785.75
2024-01-18 08:53:02,247757555.55752,4751.12,4784.25
2024-01-18 08:54:03,274839642.386901,4751.51,4785
2024-01-18 08:55:04,239834184.332654,4750.87,4782.75
2024-01-18 08:56:03,305680795.449656,4751.24,4783.25
2024-01-18 08:57:01,392088089.717353,4753.85,4781.5
2024-01-18 08:58:02,345166832.204498,4753.36,4784.5
2024-01-18 08:59:03,413873801.407565,4755.13,4784.75
2024-01-18 09:00:02,452816371.920975,4755.27,4783.5
2024-01-18 09:01:02,555217846.667369,4755.4,4782
2024-01-18 09:02:02,415519576.282861,4753.7,4782
2024-01-18 09:03:02,343753216.790058,4750.91,4780.75
2024-01-18 09:04:02,325766625.920978,4750.99,4781.25
2024-01-18 09:05:03,290947253.106808,4751.41,4780.25
