"ReferenceTime","GEX","spot","future"
2024-01-11 08:30:03,853143876.600607,4792.13,4821
2024-01-11 08:31:03,841264333.806423,4795.51,4826.25
2024-01-11 08:32:03,841264333.806423,4793.24,4826.25
2024-01-11 08:33:03,845216543.523932,4787.94,4828.75
2024-01-11 08:34:04,845004792.942778,4792.13,4828.75
2024-01-11 08:35:04,1077444512.36659,4795.13,4823.75
2024-01-11 08:36:02,987461846.79913,4797.26,4823.75
2024-01-11 08:37:02,982729677.607971,4794.4,4825.75
2024-01-11 08:38:04,1095334166.77771,4794.99,4825.25
2024-01-11 08:39:03,1037007886.78062,4793.72,4826
2024-01-11 08:40:03,1002882388.05675,4794.17,4826.5
2024-01-11 08:41:04,1008308522.77116,4793.16,4827.75
2024-01-11 08:42:02,982257900.65554,4791.58,4826.75
2024-01-11 08:43:03,853143876.600607,4789.81,4821
2024-01-11 08:44:03,841264333.806423,4790.1,4826.25
2024-01-11 08:45:03,845216543.523932,4788.8,4828.75
2024-01-11 08:46:04,691988442.774928,4783.79,4830.5
2024-01-11 08:47:04,691988442.774928,4784.92,4830.5
2024-01-11 08:48:03,506876444.650741,4782.65,4829.5
2024-01-11 08:49:03,370649494.956104,4779.06,4827.75
2024-01-11 08:50:03,388486425.441669,4779.4,4828.75
2024-01-11 08:51:04,138769184.894748,4775.61,4827.25
2024-01-11 08:52:02,261948292.722791,4778.12,4825.5
2024-01-11 08:53:02,203553967.593,4777.4,4824.25
2024-01-11 08:54:02,188464863.249738,4776.44,4823.75
2024-01-11 08:55:02,188464863.249738,4778.77,4823.75
2024-01-11 08:56:03,342741327.006421,4779.11,4818.25
2024-01-11 08:57:04,188915948.286481,4777.28,4819.5
2024-01-11 08:58:03,255798864.410702,4778.63,4816
2024-01-11 08:59:04,326668849.088779,4779.45,4814.75
2024-01-11 09:00:02,415576591.749127,4780.72,4813.5
2024-01-11 09:01:02,242409759.503754,4777.7,4809.25
2024-01-11 09:02:04,309877934.361278,4778.23,4812
2024-01-11 09:03:04,200656528.121087,4773.85,4811.25
2024-01-11 09:04:02,160455915.394444,4772.28,4811
2024-01-11 09:05:03,-53234159.9872108,4767.35,4812.5
2024-01-11 09:06:04,-202733923.999132,4762.68,4812.25
