"ReferenceTime","GEX","spot","future"
2024-01-16 08:30:02,292661266.1999,4769,4794.5
2024-01-16 08:31:02,272590804.389867,4770.33,4796
2024-01-16 08:32:03,170063964.366634,4767.02,4795.75
2024-01-16 08:33:02,172601600.775808,4766.84,4795.5
2024-01-16 08:34:03,215640432.974307,4765.61,4796
2024-01-16 08:35:04,205110430.115413,4768.16,4796.75
2024-01-16 08:36:03,218237129.377452,4768,4799
2024-01-16 08:37:02,177404494.854876,4767.79,4799.5
2024-01-16 08:38:02,202072318.637408,4765.92,4799.75
2024-01-16 08:39:03,65866979.8310671,4763.62,4799.25
2024-01-16 08:40:03,48667888.2699232,4763.03,4801.75
2024-01-16 08:41:03,-123107609.953664,4759.23,4805
2024-01-16 08:42:02,-30704131.0938673,4758.41,4799.5
2024-01-16 08:43:01,-38098111.6830888,4758.3,4799.25
2024-01-16 08:44:03,-134536964.069747,4759.59,4797.25
2024-01-16 08:45:02,-104923302.398638,4756.29,4800.5
2024-01-16 08:45:42,3311403.2403369,4757.87,4801
2024-01-16 08:47:03,-170002246.805099,4755.3,4799.25
2024-01-16 08:48:02,-203477637.2638,4755.34,4798
2024-01-16 08:49:02,-188968354.268639,4757.35,4795.75
2024-01-16 08:50:02,-155505300.870816,4755.18,4795.25
2024-01-16 08:51:03,-302289639.862392,4753.42,4791.5
2024-01-16 08:52:02,-240005990.495883,4753.08,4791.5
2024-01-16 08:53:03,-197226882.718343,4755.31,4790.5
2024-01-16 08:54:03,-107368378.63905,4754.64,4792.75
2024-01-16 08:55:01,-107079971.397063,4755.31,4788.25
2024-01-16 08:56:04,-96398381.1483932,4757.36,4790.5
2024-01-16 08:57:03,-69328097.2166381,4757.51,4787.5
2024-01-16 08:58:03,-18487339.3074427,4759.09,4787.5
2024-01-16 08:59:02,-73346282.833909,4759.14,4789.75
2024-01-16 09:00:02,19381673.2294879,4762.06,4788.5
2024-01-16 09:01:03,-8638349.56983948,4761.37,4784.75
2024-01-16 09:02:02,123371988.686923,4764,4785.75
2024-01-16 09:03:03,177934375.242481,4764.6,4788
2024-01-16 09:04:02,116070181.952179,4761.76,4787.25
2024-01-16 09:05:03,92004786.6988673,4759.64,4788.25
2024-01-16 09:06:01,110207621.17583,4761.92,4790
2024-01-16 09:07:02,163238374.964441,4761,4790.25
2024-01-16 09:08:03,141597555.652447,4758.89,4791.25
2024-01-16 09:09:01,156319621.099577,4761.73,4791.5
2024-01-16 09:10:03,242422678.333754,4763.82,4793.75
