"ReferenceTime","GEX","spot","future"
2024-01-12 08:30:03,1062676938.34633,4792.58,4818.75
2024-01-12 08:31:03,990175621.657953,4795.81,4821.25
2024-01-12 08:32:03,1073381393.53986,4797.03,4822.25
2024-01-12 08:33:03,1135325099.2912,4794.67,4821.5
2024-01-12 08:34:03,1046567227.8372,4796.84,4822.75
2024-01-12 08:35:03,1043230137.18593,4796.75,4823.25
2024-01-12 08:36:03,996380652.274132,4796.2,4825.25
2024-01-12 08:37:03,1121583087.64805,4799.2,4824.5
2024-01-12 08:38:03,1125908602.09484,4799.35,4826.75
2024-01-12 08:39:03,1142009046.09067,4800.08,4829
2024-01-12 08:40:03,1120855171.34226,4799.92,4829.25
2024-01-12 08:41:04,1136282288.31024,4801.16,4829.75
2024-01-12 08:42:03,1146351118.50944,4800.35,4830.5
2024-01-12 08:43:02,1131117702.46448,4799.74,4828.75
2024-01-12 08:44:02,1133482567.59852,4800.97,4830.25
2024-01-12 08:45:03,1152037620.91056,4801.68,4830.75
2024-01-12 08:46:02,1155047155.05646,4800.88,4830.5
2024-01-12 08:47:02,944275820.550942,4800.99,4833.5
2024-01-12 08:48:03,1023363036.94898,4801.71,4834.25
2024-01-12 08:49:03,971688221.520275,4801.05,4834.5
2024-01-12 08:50:02,901747980.337992,4798.44,4834.75
2024-01-12 08:51:03,886091442.810811,4799.57,4835.25
2024-01-12 08:52:02,911775721.400718,4798.98,4834.5
2024-01-12 08:53:03,981107259.176619,4799.02,4833.75
2024-01-12 08:54:02,825354532.19547,4795.98,4835.5
2024-01-12 08:55:02,820691268.208607,4796.53,4835
2024-01-12 08:56:04,819930449.680666,4796.5,4834.75
2024-01-12 08:57:03,745541927.386107,4795.82,4834.75
2024-01-12 08:58:02,723187392.678058,4793.91,4835.25
2024-01-12 08:59:03,689808952.592714,4792.43,4834
2024-01-12 09:00:03,492020306.889447,4787.67,4832.25
2024-01-12 09:01:01,265861742.56034,4784.66,4833
2024-01-12 09:02:02,191322888.116902,4783.05,4833.25
2024-01-12 09:03:04,111824237.366773,4781.12,4832
2024-01-12 09:04:03,97459374.2588649,4783.1,4829.75
2024-01-12 09:05:03,166626968.494946,4783.21,4830.75
2024-01-12 09:06:03,272443943.97297,4784.53,4830.75
2024-01-12 09:07:03,361662387.232402,4786.24,4829.5
2024-01-12 09:08:03,446120062.304612,4789.91,4826.5
2024-01-12 09:09:02,412695555.307294,4789.47,4825.75
2024-01-12 09:10:03,470613279.066833,4788.77,4821.5
2024-01-12 09:11:02,529774827.808716,4789.67,4819.25
