"ReferenceTime","GEX","spot","future"
2024-01-19 08:30:02,757574849.179265,4799.33,4827.25
2024-01-19 08:31:02,507748785.371453,4792.91,4826.75
2024-01-19 08:32:02,371299036.202592,4790.75,4827.5
2024-01-19 08:33:03,480555886.514989,4792.31,4828
2024-01-19 08:34:02,482647696.644601,4792.23,4828.5
2024-01-19 08:35:04,352195877.609948,4790.02,4827.25
2024-01-19 08:36:02,349782551.245952,4790.02,4825.5
2024-01-19 08:37:02,309934435.071109,4789.35,4825
2024-01-19 08:38:02,335748316.835054,4789.79,4825
2024-01-19 08:39:03,282789113.067522,4788.66,4822.75
2024-01-19 08:40:02,256556826.179961,4787.89,4822.25
2024-01-19 08:41:01,404858220.115835,4786.6,4820
2024-01-19 08:42:03,258918454.958118,4787.93,4819.25
2024-01-19 08:43:02,300224160.950057,4789.02,4820.75
2024-01-19 08:44:03,224233904.514338,4787.36,4820.5
2024-01-19 08:45:02,229190278.525175,4786.76,4818.75
2024-01-19 08:46:02,257118506.84716,4787.02,4818.5
2024-01-19 08:47:03,472597664.642371,4786.36,4818
2024-01-19 08:48:04,404019410.664663,4787.51,4818.5
2024-01-19 08:49:03,498892096.152004,4788.4,4817.5
2024-01-19 08:50:03,415718048.813467,4788.4,4816.5
2024-01-19 08:51:02,504608721.566175,4789.07,4816
2024-01-19 08:52:02,395031945.771518,4790.71,4817
2024-01-19 08:53:05,471523576.3723,4791.13,4817.25
2024-01-19 08:54:03,754070411.650411,4792.64,4815.75
2024-01-19 08:55:02,643111902.553487,4793.16,4816
2024-01-19 08:56:02,518605819.777578,4792.46,4816.5
2024-01-19 08:57:02,557233948.417507,4793.19,4815.5
2024-01-19 08:58:03,672429683.421813,4793.78,4817
2024-01-19 08:59:02,638192133.270295,4793.19,4817.25
2024-01-19 09:00:02,831225171.587422,4796.99,4818
2024-01-19 09:01:03,645512408.912822,4795.05,4818.5
2024-01-19 09:02:03,628394918.983912,4795.3,4819.5
2024-01-19 09:03:02,688301208.983526,4793.15,4820.5
2024-01-19 09:04:01,695866749.410794,4795.67,4821.75
2024-01-19 09:05:02,722717213.854115,4796.13,4822.25
2024-01-19 09:06:03,657764575.725718,4794.15,4822.75
2024-01-19 09:07:03,668353871.951427,4790.33,4823
2024-01-19 09:08:03,495270847.285182,4788.28,4823.25
2024-01-19 09:09:03,454649037.644226,4787.25,4823
2024-01-19 09:10:04,435602970.93902,4787.69,4826
2024-01-19 09:11:03,405416563.370354,4787.56,4824.5
2024-01-19 09:12:02,651094056.029468,4789.52,4824.5
2024-01-19 09:13:03,601795920.56262,4788.69,4821.75
2024-01-19 09:14:03,587978036.605784,4788.06,4825.25
2024-01-19 09:15:02,600549411.515057,4789.06,4825.75
2024-01-19 09:16:02,576521835.186921,4790.36,4823.5
2024-01-19 09:17:02,574992441.687505,4792.53,4819.75
2024-01-19 09:18:02,531605543.592689,4792.53,4818.25
2024-01-19 09:19:03,531767892.858148,4793.92,4817.5
2024-01-19 09:20:02,665115388.043393,4794.03,4818
2024-01-19 09:21:03,695327738.09057,4795.07,4817.5
2024-01-19 09:22:03,710959289.380186,4795.37,4820.25
2024-01-19 09:23:03,615849974.941676,4790.86,4817.75
2024-01-19 09:24:02,693428700.821308,4790.31,4817.5
2024-01-19 09:25:03,741691609.435538,4792.54,4819.5
2024-01-19 09:26:02,649779875.831498,4793.15,4820.25
2024-01-19 09:27:03,636296879.69595,4793.53,4822.25
2024-01-19 09:28:03,656531593.497043,4793.36,4822.25
2024-01-19 09:29:02,677839623.383876,4794.44,4823.75
2024-01-19 09:30:03,692682404.187805,4794.94,4824
2024-01-19 09:31:02,614181297.615579,4792.16,4825.5
2024-01-19 09:32:02,604094409.381938,4791.83,4825.25
2024-01-19 09:33:02,721783520.383023,4791.62,4820.75
2024-01-19 09:34:03,617063090.697784,4790.86,4820
2024-01-19 09:35:03,702933766.656172,4790.54,4822.5
2024-01-19 09:36:03,698050899.714008,4793.69,4822.75
2024-01-19 09:37:01,787372342.952926,4794.26,4823.25
2024-01-19 09:38:03,743366532.032594,4793.45,4822.75
2024-01-19 09:39:02,794338495.46818,4793.89,4824.5
2024-01-19 09:40:02,861179799.560272,4794.01,4824.75
2024-01-19 09:41:02,801248758.194464,4793.97,4821.75
2024-01-19 09:42:03,566954737.778834,4795.6,4821.5
2024-01-19 09:43:03,551272063.301462,4795.27,4821.75
2024-01-19 09:44:03,653267339.047408,4796.74,4820
2024-01-19 09:45:01,696901239.987138,4797.47,4821
2024-01-19 09:46:03,674907900.441602,4797.22,4824
2024-01-19 09:47:02,600777394.792256,4795.72,4823.25
2024-01-19 09:48:03,793643136.304874,4798.42,4822.75
2024-01-19 09:49:02,745580155.537368,4797.22,4823.75
2024-01-19 09:50:03,688353320.191833,4795.26,4824.5
2024-01-19 09:51:02,818977019.990348,4794.78,4823.75
2024-01-19 09:52:03,751066490.702542,4796.87,4826
2024-01-19 09:53:03,863671444.631369,4796.36,4825.75
2024-01-19 09:54:03,810742036.502927,4797.15,4825.75
2024-01-19 09:55:02,733952694.263185,4797.94,4827.25
2024-01-19 09:56:02,815792411.05656,4799.9,4827
2024-01-19 09:57:03,772883547.11618,4798.53,4826
2024-01-19 09:58:03,788913613.96134,4797.88,4828.25
2024-01-19 09:59:01,871957711.579076,4798.27,4826.75
2024-01-19 10:00:03,773284630.191813,4798.65,4825
2024-01-19 10:01:01,797303934.128847,4797.04,4824.5
2024-01-19 10:02:02,751777972.096706,4797.06,4826.75
2024-01-19 10:03:03,705066987.544197,4799.42,4826.5
2024-01-19 10:04:03,680377292.427282,4799.8,4827.25
2024-01-19 10:05:03,716343402.023927,4799.58,4828.25
2024-01-19 10:06:01,804004194.173328,4800.31,4829.75
2024-01-19 10:07:03,878565021.721328,4801.57,4828.5
2024-01-19 10:08:02,855571376.03773,4801.84,4828
2024-01-19 10:09:02,877647387.5883,4802.64,4828.25
2024-01-19 10:10:03,806008240.591287,4802.23,4828.5
2024-01-19 10:11:03,889989665.925071,4804.2,4826.5
2024-01-19 10:12:02,1070809441.71037,4806.88,4826.5
2024-01-19 10:13:01,988541875.582071,4804.7,4829.75
