"Date","Future","Spot","Riskfree","Maturity","Dividend"
2024-01-10,4828.25,4783.45,0.0556264667848327,65,12.6972602739726
2024-01-11,4815.5,4783.45,0.0556877838729231,64,12.3616438356164
2024-01-12,4818.5,4780.24,0.0557460974793279,63,12.3238356164384
2024-01-16,4803.25,4783.83,0.0559433559527358,59,11.5413698630137
2024-01-17,4770.25,4765.98,0.0559826418085832,58,11.3695890410959
2024-01-18,4790.5,4739.21,0.0560179979157108,57,11.1267123287671
